IDUsuario,Nombre,ApellidoPaterno,ApellidoMaterno,Correo,Password,Domicilio
1,Sam,Suares,Sosa,Sam@itj.com,SuaresSosa,La casa de Sam
2,Monce,Martines,Moyano,Monce@itj.com,MartinesMoyano,La casa de Monce
3,Fermin,Fernandez,Franco,Fermin@itj.com,FernandezFranco,La casa de Fermin
4,Mario,Martines,Melendez,Mario@itj.com,MartinesMelendez,La casa de Mario
5,Dezo,Diego,Dario,Dezo@itj.com,DiegoDario,La casa de Dezo
6,Josue,Jimenez,Juarez,Josue@itj.com,JimenezJuarez,La casa de Josue
7,Pablo,Perez,Palma,Pablo@itj.com,PerezPalma,La casa de Pablo
8,Pau,Po,Park,Pau@itj.com,PoPark,La casa de Pau
9,Lalo,Lira,Luna,Lalo@itj.com,LiraLuna,La casa de Lalo
10,Bartolomeo,Barner,Bardon,Bartolomeo@itj.com,BarnerBardon,La casa de Bartolomeo
